filename,width,height,class,xmin,ymin,xmax,ymax
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-1.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,118,200,306,414
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-2.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,100,191,349,414
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-3.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,130,274,374,405
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-4.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,195,313,258,382
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-5.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,14,1,390,412
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-6.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,3,43,400,411
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-7.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,8,12,390,415
Acropolis Coffee Table in	Warm Chestnut Finish by Woodsworth-8.jpg,400,440,Acropolis Coffee Table in Warm Chestnut Finish by Woodsworth,2,1,400,438
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-1.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,30,260,363,417
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-10.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,0,1,400,440
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-11.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,2,2,400,423
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-2.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,42,255,345,414
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-3.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,111,317,380,399
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-4.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,144,229,263,293
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-5.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,10,226,392,420
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-6.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,11,218,393,416
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-7.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,8,229,394,427
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-8.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,7,65,391,432
Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth-9.jpg,400,440,Anitz Solidwood Coffee Table in Dual Tone(Honey Oak & Natural) Finish by Woodsworth,5,146,393,431
Anne Coffee Table in Provincial Teak Finish by Amberville-1.jpg,400,440,Anne Coffee Table in Provincial Teak Finish by Amberville,32,247,357,416
Anne Coffee Table in Provincial Teak Finish by Amberville-2.jpg,400,440,Anne Coffee Table in Provincial Teak Finish by Amberville,52,247,358,419
Anne Coffee Table in Provincial Teak Finish by Amberville-3.jpg,400,440,Anne Coffee Table in Provincial Teak Finish by Amberville,130,322,362,396
Anne Coffee Table in Provincial Teak Finish by Amberville-4.jpg,400,440,Anne Coffee Table in Provincial Teak Finish by Amberville,136,260,251,321
Anne Coffee Table in Provincial Teak Finish by Amberville-5.jpg,400,440,Anne Coffee Table in Provincial Teak Finish by Amberville,9,213,390,418
