filename,width,height,class,xmin,ymin,xmax,ymax
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-1.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,71,46,273,368
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-2.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,93,41,297,376
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-3.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,77,34,300,378
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-4.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,85,44,311,398
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-5.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,81,42,303,399
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-6.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,42,28,377,440
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard-7.jpg,400,440,Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,201,291,283,422
Off White Aluminium Table Lamp by Kapoor E Illuminations-1.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,109,47,371,348
Off White Aluminium Table Lamp by Kapoor E Illuminations-2.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,136,73,375,337
Off White Aluminium Table Lamp by Kapoor E Illuminations-3.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,60,109,340,372
Off White Aluminium Table Lamp by Kapoor E Illuminations-4.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,64,93,331,388
Off White Aluminium Table Lamp by Kapoor E Illuminations-5.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,196,162,389,349
Off White Aluminium Table Lamp by Kapoor E Illuminations-6.jpg,400,440,Off White Aluminium Table Lamp by Kapoor E Illuminations,243,344,317,409
Off White Cotton Table Lamp by ExclusiveLane-1.jpg,400,440,Off White Cotton Table Lamp by ExclusiveLane,99,31,294,411
