Name,Price,Brand,Color,Primary_Material,Primary_Category,Category,Subcategory,SubsubCategory
Multicolour Jute Table Lamp by Green Girgit,1920,Green Girgit,,,Home, Lamps & Lighting, Table Lamps, Eclectic Table Lamps
Table Lamp by the Light House,1295,The Light House,,,Home, Lamps & Lighting, Table Lamps, Colonial Table Lamps
Beige Cotton Table Lamp by Grated Ginger,12279,Grated Ginger,,,Home, Lamps & Lighting, Table Lamps, Indian Ethnic Table Lamps
Black Iron Lamp Base by Tu Casa,629,Tu Casa,,,Home, Lamps & Lighting, Table Lamps, Table Lamp Bases
Red Fabric Table Lamp by Unravel India,1829,Unravel India,,,Home, Lamps & Lighting, Table Lamps, Eclectic Table Lamps
Brown Jute and Stiffener Table Lamp by New Era,1089,New Era,,,Home, Lamps & Lighting, Table Lamps, Contemporary Table Lamps
Off White Cotton Table Lamp by Homesake,1399,Homesake,,,Home, Lamps & Lighting, Table Lamps, Colonial Table Lamps
Nagaban Small Blue Green Table Lamp with Grey Shade by Courtyard,3260,Courtyard,,,Home, Lamps & Lighting, Table Lamps, Contemporary Table Lamps
Black Iron Lamp Base by Tu Casa,479,Tu Casa,,,Home, Lamps & Lighting, Table Lamps, Table Lamp Bases
Black Iron Lamp Base by Tu CasaBlack Iron Lamp Base by Tu Casa,579579,Tu CasaTu Casa,,,Home, Lamps & Lighting, Table Lamps, Table Lamp Bases
Silver PVC Running Table Lamp by Rooms Gravity,2999,Rooms Gravity,,,Home, Lamps & Lighting, Table Lamps, Eclectic Table Lamps
White & Black Fabric Table Lamp by VarEesha,1999,VarEesha,,,Home, Lamps & Lighting, Table Lamps, Eclectic Table Lamps
Brown Wood Table Lamp by Haverds,3895,Haverds,,,Home, Lamps & Lighting, Table Lamps, Contemporary Table Lamps
Brown Jute Shade Log Madhubani Hand Painted Table Lamp by ExclusiveLane,1733,ExclusiveLane,,,Home, Lamps & Lighting, Table Lamps, Indian Ethnic Table Lamps
Green Iron Diwali Lantern by Gol Maal Shop,3239,Gol Maal Shop,,,Home, Lamps & Lighting, Lanterns, Table Lanterns
