Name,Price,Brand,Color,Primary_material,Primary_Category,Category,Subcategory,Subsubcategory
Lara Three Seater Sofa in Navy Blue Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Silvia Three Seater Sofa in Red Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Valencia Three Seater Sofa in Light Grey Colour by CasaCraft,36999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Sandy Brown Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Havana Three Seater Sofa in Dark Brown Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Valencia Three Seater Sofa in Ocean Blue Colour by CasaCraft,36999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Managua Three Seater Sofa in Blue Colour by CasaCraft,26999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofa Sets
Fuego Three Seater Sofa in Beige Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Gloria Three Seater Sofa with Ottoman in Grey Colour by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Valencia Three Seater Sofa in Cedar Brown Colour by CasaCraft,36999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Santiago Three Seater Sofa in Chestnut Brown Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Castello Three Seater Sofa in Chocolate Brown Colour by CasaCraft,21999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Gloria Three Seater Sofa with Ottoman in Blue Colour by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Havana Three Seater Sofa in Ecru Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alba Three Seater Sofa in Beige Colour by CasaCraft,19999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Fuego Three Seater Sofa in Charcoal Grey Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alfredo Three Seater Sofa in Beige Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Frida Three Seater Sofa in Grey Multi Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Managua Three Seater Sofa in Coyote Colour by CasaCraft,26999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofa Sets
Valencia Three Seater Sofa in Deep Sangria Colour by CasaCraft,36999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Lara Three Seater Sofa in Chestnut Brown Colour by CasaCraft,27999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Belem Three Seater Sofa in Ice Blue Color by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Madeira Three Seater Sofa in Sandy Brown Colour by CasaCraft,34999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hugo Three Seater Sofa in Chestnut Brown Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alfredo Three Seater Sofa in Sandy Brown Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Gloria Three Seater Sofa with Ottoman in Beige Colour by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Frida Three Seater Sofa in Red Multi Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Bogota Three Seater Sofa in Grey Colour by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Fuego Three Seater Sofa in Sandy Brown Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Madeira Three Seater Sofa in Navy Blue Colour by CasaCraft,34999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Santiago Three Seater Sofa in Camel Yellow Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
