filename,width,height,class,xmin,ymin,xmax,ymax
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-1.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,145,113,1460,753
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-10.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,47,16,1560,771
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-11.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,5,1,752,776
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-12.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,1,14,1599,787
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-13.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,3,1,1600,792
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-2.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,120,8,1520,776
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-6.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,39,11,1573,771
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-7.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,15,10,1584,781
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-8.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,423,5,1149,774
Diego Three Seater Sofa in Sandy Brown Colour by CasaCraft-9.jpg,1600,800,Diego Three Seater Sofa in Sandy Colour by CasaCraft,126,1,1516,758
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-1.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,137,126,1450,755
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-2.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,139,18,1507,755
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-3.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,491,368,1392,785
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-4.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,39,8,1589,768
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-5.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,13,22,1582,748
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-6.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,455,1,1118,764
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-7.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,118,5,1486,756
Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home-8.jpg,1600,800,Dijon Three Seater Sofa in Dark Brown Colour by Auspicious Home,95,6,1594,800
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-1.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,152,137,1455,760
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-2.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,49,1,1550,753
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-3.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,595,314,1453,735
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-4.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,7,3,1589,758
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-6.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,434,3,1205,772
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-7.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,1,1,1600,779
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-8.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,1,1,1578,789
Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth-9.jpg,1600,800,Dillon Three Seater Sofa in Passion Mahogany Finish by Woodsworth,1,6,1581,792
Dime Three Seater Sofa in Beige Colour by Zofa-1.jpg,1600,800,Dime Three Seater Sofa in Beige Colour by Zofa,97,169,1541,740
